title,duration,duration_numeric
Time to Dance,107 min,107.0
Unrest,97 min,97.0
And Tomorrow the Entire World,112 min,112.0
Dead Man Down,118 min,118.0
Framing John DeLorean,109 min,109.0
The Clovehitch Killer,109 min,109.0
Aliens Stole My Body,88 min,88.0
Au coeur des gangs,97 min,97.0
Best of the Best,97 min,97.0
Dead Again in Tombstone,99 min,99.0
Due Date,95 min,95.0
Fun with Dick & Jane,91 min,91.0
Green Zone,115 min,115.0
Hachi: A Dog's Tale,93 min,93.0
JT LeRoy,109 min,109.0
Madagascar 3: Europe's Most Wanted,96 min,96.0
Motu Patlu in Dragon's World,78 min,78.0
Motu Patlu in the Game of Zones,87 min,87.0
Motu Patlu in Wonderland,76 min,76.0
Motu Patlu: Deep Sea Adventure,76 min,76.0
Motu Patlu: Mission Moon,71 min,71.0
Mystic River,138 min,138.0
Never Back Down,113 min,113.0
S.M.A.R.T Chase,94 min,94.0
Sitting in Limbo,89 min,89.0
Stargate,121 min,121.0
State of Play,127 min,127.0
Swiped,94 min,94.0
The Darkest Hour,89 min,89.0
The Lovely Bones,136 min,136.0
The Sweetest Thing,89 min,89.0
The Whole Nine Yards,99 min,99.0
The Whole Truth,93 min,93.0
The Yeti Adventures,85 min,85.0
Under Siege,102 min,102.0
Zack and Miri Make a Porno,101 min,101.0
Seven,113 min,113.0
The Disciple,128 min,128.0
The Mitchells vs. The Machines,114 min,114.0
The Strangers: Prey at Night,85 min,85.0
Things Heard & Seen,121 min,121.0
Get the Grift,95 min,95.0
August: Osage County,121 min,121.0
Battle: Los Angeles,116 min,116.0
Between Worlds,91 min,91.0
One,149 min,149.0
Ram Prasad Ki Tehrvi,113 min,113.0
Shadow and Bone - The Afterparty,33 min,33.0
Among Family,127 min,127.0
Dedemin Fisi,101 min,101.0
Deliha,102 min,102.0
Düğün Dernek,102 min,102.0
Dügün Dernek 2: Sünnet,107 min,107.0
G.O.R.A,123 min,123.0
Hayat Öpücügü,98 min,98.0
Heroes: Silence and Rock & Roll,95 min,95.0
Kara Bela,101 min,101.0
Kocan Kadar Konus,104 min,104.0
Kocan Kadar Konus 2: Dirilis,104 min,104.0
Legal Hash,103 min,103.0
My Travel Buddy,111 min,111.0
Niyazi Gül Dörtnala,102 min,102.0
One Like It,15 min,15.0
Perfume Imaginary Museum “Time Warp”,54 min,54.0
This Lady Called Life,120 min,120.0
Vizontele,106 min,106.0
HOMUNCULUS,116 min,116.0
Searching For Sheela,58 min,58.0
Stowaway,116 min,116.0
Wild Dog,126 min,126.0
Oloibiri,86 min,86.0
Tell Me When,97 min,97.0
Keymon and Nani in Space Adventure,76 min,76.0
Motu Patlu Dino Invasion,80 min,80.0
Motu Patlu in Octupus World,81 min,81.0
Motu Patlu VS Robo Kids,84 min,84.0
Rudra: Secret of the Black Moon,87 min,87.0
Rudra: The Rise of King Pharaoh,91 min,91.0
Free to Play,76 min,76.0
Miss Sloane,132 min,132.0
American Me,126 min,126.0
Delhi Belly,101 min,101.0
Dhobi Ghat (Mumbai Diaries),102 min,102.0
Jaane Tu... Ya Jaane Na,147 min,147.0
Lagaan,224 min,224.0
Madness in the Desert,141 min,141.0
Peepli Live,109 min,109.0
Taare Zameen Par,162 min,162.0
Ajeeb Daastaans,142 min,142.0
Arlo the Alligator Boy,93 min,93.0
Barbie & Chelsea: The Lost Birthday,60 min,60.0
Crimson Peak,119 min,119.0
Dad Stop Embarrassing Me - The Afterparty,37 min,37.0
Doctor Bello,96 min,96.0
Four Sisters Before the Wedding,116 min,116.0
Into the Beat,102 min,102.0
Rush,123 min,123.0
Synchronic,102 min,102.0
The Zookeeper's Wife,127 min,127.0
Time Trap,88 min,88.0
Tuesdays & Fridays,106 min,106.0
Dark City Beneath the Beat,65 min,65.0
GANTZ:O,96 min,96.0
Only Mine,88 min,88.0
Ride or Die,143 min,143.0
The Master,137 min,137.0
Time Is Illmatic,75 min,75.0
Wave of Cinema: One Day We'll Talk About Today,71 min,71.0
Zoot Suit,103 min,103.0
The Soul,130 min,130.0
Uppena,145 min,145.0
Why Did You Kill Me?,84 min,84.0
Motu Patlu in Hong Kong: Kung Fu Kings 3,84 min,84.0
Motu Patlu in the City of Gold,77 min,77.0
Motu Patlu Kung Fu Kings 4 The Challenge of Kung Fu Brothers,86 min,86.0
Motu Patlu the Superheroes – Super Villains from Mars,79 min,79.0
Shiva VS Autobots,80 min,80.0
Shiva: Journey to Plunotaria,81 min,81.0
Shiva: The Secret World Of Vedas City,78 min,78.0
New Gods: Nezha Reborn,118 min,118.0
The Stand-In,102 min,102.0
Night in Paradise,132 min,132.0
Ojukokoro: Greed,108 min,108.0
Roohi,133 min,133.0
Thunder Force,107 min,107.0
Two Distant Strangers,32 min,32.0
Story of Kale: When Someone's in Love,78 min,78.0
Dolly Parton: A MusiCares Tribute,55 min,55.0
The Last Kids on Earth: Happy Apocalypse to You,92 min,92.0
Coded Bias,86 min,86.0
Mandela,140 min,140.0
The Fisherman's Diary,143 min,143.0
What Lies Below,88 min,88.0
Escape from Planet Earth,89 min,89.0
Accepted,93 min,93.0
Air Strike,97 min,97.0
An American Girl: McKenna Shoots for the Stars,94 min,94.0
Concrete Cowboy,112 min,112.0
